"Division";"Classe";"Ordre";"SPECIES_NumSysCPerm";"SPECIES_CPerm";"SPECIES_AphiaID";"SPECIES_NAME";"SELECT_ATL";"SELECT_MAN";"SELECT_MED";"RASTERname_ATL";"RASTERname_MAN";"RASTERname_MED";"Groupe"
"Mollusca";"Bivalvia";"Nuculida";"78600100.7683";7683;148438;"Nucula nitidosa";0;0;0;NA;NA;NA;"Mollusca"
"Mollusca";"Bivalvia";"Nuculida";"78700000.4217";4217;1784;"Nucula sulcata";0;0;0;NA;NA;NA;"Mollusca"
"Mollusca";"Gastropoda";"Nudibranchia";"77345100.12831";12831;NA;"Okenia elegans";0;0;0;NA;NA;NA;"Mollusca"
"Chordata";"Cephalaspidomorphi";NA;"222900000.1212";1212;1829;"Petromyzon marinus";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Actinopterygii";"Pleuronectiformes";"428200000.1964";1964;127145;"Phrynorhombus norvegicus";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Actinopterygii";"Gadiformes";"307500000.1573";1573;126447;"Phycis blennoides";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Actinopterygii";"Pleuronectiformes";"434326000.1978";1978;127129;"Pleuronectes platessa";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Actinopterygii";"Gadiformes";"303800000.1555";1555;125735;"Pollachius pollachius";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Elasmobranchii";"Rajiformes";"238800000.1302";1302;105711;"Raja clavata";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Elasmobranchii";"Rajiformes";"239000000.1304";1304;367297;"Raja montagui";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Actinopterygii";"Clupeiformes";"262400000.1351";1351;125716;"Sardina pilchardus";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Actinopterygii";"Perciformes";"421623000.1772";1772;127089;"Scomber scombrus";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Elasmobranchii";"Carcharhiniformes";"227200000.1242";1242;105836;"Scyliorhinus canicula";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Actinopterygii";"Pleuronectiformes";"437100000.1996";1996;127139;"Solea solea";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Actinopterygii";"Gasterosteiformes";"330700000.1519";1519;125775;"Spinachia spinachia";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Actinopterygii";"Clupeiformes";"263200000.1356";1356;126422;"Sprattus sprattus";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Actinopterygii";"Perciformes";"393600000.1738";1738;126020;"Symphodus melops";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Elasmobranchii";"Torpediniformes";"237800000.1297";1297;105718;"Torpedo marmorata";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Elasmobranchii";"Torpediniformes";"237820000.1298";1298;105784;"Torpedo nobiliana";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Actinopterygii";"Perciformes";"358400000.1662";1662;126803;"Trachurus trachurus";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Actinopterygii";"Perciformes";"403400000.1759";1759;126755;"Trachinus draco";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Actinopterygii";"Scorpaeniformes";"334708065.1922";1922;126178;"Trigloporus lastoviza";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Actinopterygii";"Scorpaeniformes";"334707045.1910";1910;127240;"Trigla lyra";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Actinopterygii";"Gadiformes";"304300000.1560";1560;125739;"Trisopterus luscus";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Actinopterygii";"Gadiformes";"304100000.1558";1558;126440;"Trisopterus minutus";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Actinopterygii";"Perciformes";"381400000.1683";1683;126052;"Umbrina canariensis";0;0;0;NA;NA;NA;"Chordata"
"Arthropoda";"Malacostraca";"Decapoda";"180900000.980";980;107741;"Upogebia stellata";0;0;0;NA;NA;NA;"Arthropoda"
"Chordata";"Actinopterygii";"Pleuronectiformes";"428400000.1966";1966;236488;"Zeugopterus punctatus";0;0;0;NA;NA;NA;"Chordata"
"Chordata";"Actinopterygii";"Zeiformes";"328900000.1619";1619;10919;"Zeus faber";0;0;0;NA;NA;NA;"Chordata"
